date	revenue
01.08.2014	1489900.00
02.08.2014	161300.00
04.08.2014	100750.00
05.08.2014	2026100.00
06.08.2014	1810100.00
07.08.2014	2201150.00
08.08.2014	1134450.00
09.08.2014	94100.00
11.08.2014	1080500.00
12.08.2014	848900.00
13.08.2014	1605100.00
14.08.2014	1567800.00
15.08.2014	3334590.00
16.08.2014	312750.00
18.08.2014	787150.00
19.08.2014	694300.00
20.08.2014	1148250.00
21.08.2014	693500.00
22.08.2014	2422250.00
23.08.2014	282850.00
25.08.2014	1571350.00
26.08.2014	1684600.00
27.08.2014	1532680.00
28.08.2014	1498250.00
29.08.2014	3257650.00
