date	revenue
01.10.2015	219400.00
02.10.2015	2213300.00
03.10.2015	254600.00
05.10.2015	838350.00
06.10.2015	791678.00
07.10.2015	1238350.00
08.10.2015	1768450.00
09.10.2015	2951100.00
10.10.2015	125350.00
12.10.2015	1932650.00
13.10.2015	2084150.00
14.10.2015	2328900.00
15.10.2015	3178130.00
16.10.2015	2875550.00
17.10.2015	194750.00
19.10.2015	2598450.00
20.10.2015	145100.00
21.10.2015	2350050.00
22.10.2015	1692950.00
23.10.2015	1330050.00
24.10.2015	129400.00
26.10.2015	887050.00
27.10.2015	3706150.00
28.10.2015	620600.00
29.10.2015	1107950.00
30.10.2015	3655500.00
