date	revenue
01.07.2014	758900.00
02.07.2014	1020830.00
03.07.2014	2016250.00
04.07.2014	2021400.00
05.07.2014	53700.00
07.07.2014	1523100.00
08.07.2014	1877550.00
09.07.2014	953450.00
10.07.2014	1209600.00
11.07.2014	1239750.00
12.07.2014	249400.00
14.07.2014	680200.00
15.07.2014	296650.00
16.07.2014	1891250.00
17.07.2014	842650.00
18.07.2014	1209800.00
19.07.2014	296400.00
21.07.2014	1926300.00
22.07.2014	867600.00
23.07.2014	2001000.00
24.07.2014	2238550.00
25.07.2014	1538150.00
28.07.2014	1588850.00
29.07.2014	1774220.00
30.07.2014	2705100.00
31.07.2014	2060650.00
