date	revenue
02.12.2013	2252500.00
03.12.2013	1210350.00
04.12.2013	3222050.00
05.12.2013	1949555.90
06.12.2013	2611000.00
07.12.2013	1703600.00
09.12.2013	1661300.00
10.12.2013	847100.00
11.12.2013	3652800.00
12.12.2013	2897300.00
13.12.2013	2840706.50
14.12.2013	255650.00
16.12.2013	3232500.00
17.12.2013	3898800.00
18.12.2013	1834150.00
19.12.2013	1850412.00
20.12.2013	4842010.00
23.12.2013	2620100.00
24.12.2013	2084400.00
25.12.2013	2676300.00
26.12.2013	2840050.00
27.12.2013	5371105.90
28.12.2013	3917350.00
30.12.2013	647400.00
