date	revenue
01.01.2014	30287283.80
01.02.2014	37206378.40
01.03.2014	32990905.68
01.04.2014	33527946.12
01.05.2014	29255622.00
01.06.2014	26683627.80
01.07.2014	34841300.00
01.08.2014	33340320.00
01.09.2014	33541700.00
01.10.2014	41403780.10
01.11.2014	40816920.00
01.12.2014	57500989.10
