date	revenue
01.04.2015	188700.00
02.04.2015	1923100.00
03.04.2015	1323250.00
04.04.2015	80350.00
06.04.2015	2027250.00
07.04.2015	1569478.00
08.04.2015	2140000.00
09.04.2015	1140700.00
10.04.2015	2197500.00
11.04.2015	255150.00
13.04.2015	159300.00
14.04.2015	2613500.00
15.04.2015	2449200.00
16.04.2015	1503450.00
17.04.2015	1283802.00
18.04.2015	314800.00
20.04.2015	1120900.00
22.04.2015	2165700.00
23.04.2015	1214900.00
24.04.2015	969550.00
27.04.2015	891900.00
28.04.2015	729110.00
29.04.2015	1906550.00
30.04.2015	943660.00
