date	revenue
01.04.2014	371950.00
02.04.2014	970200.00
03.04.2014	1170350.00
04.04.2014	1362350.00
05.04.2014	247850.00
07.04.2014	1840450.00
08.04.2014	2131900.00
09.04.2014	1644750.00
10.04.2014	1886500.00
11.04.2014	1706300.00
12.04.2014	154100.00
14.04.2014	742100.00
15.04.2014	2091500.00
16.04.2014	504240.00
17.04.2014	1346226.60
18.04.2014	2210450.00
19.04.2014	191300.00
21.04.2014	1153750.00
22.04.2014	2324150.00
23.04.2014	974850.00
24.04.2014	1296750.00
25.04.2014	1702629.52
28.04.2014	2717050.00
30.04.2014	2786250.00
