date	revenue
01.09.2015	450100.00
02.09.2015	2268200.00
03.09.2015	1887100.00
04.09.2015	2027200.00
05.09.2015	214050.00
07.09.2015	1224300.00
08.09.2015	3078250.00
09.09.2015	550800.00
10.09.2015	3440200.00
11.09.2015	2548300.00
12.09.2015	148900.00
14.09.2015	898350.00
15.09.2015	1042300.00
16.09.2015	1706150.00
17.09.2015	2422770.00
18.09.2015	1311700.00
19.09.2015	268050.00
21.09.2015	802800.00
22.09.2015	2013730.00
23.09.2015	2116850.00
24.09.2015	1181800.00
25.09.2015	2697994.00
28.09.2015	852750.00
29.09.2015	2729490.00
30.09.2015	2966800.00
