date	revenue
01.02.2013	1958050.00
02.02.2013	200510.00
04.02.2013	1575850.00
05.02.2013	1293350.00
06.02.2013	1291270.00
07.02.2013	1128700.00
08.02.2013	1953350.00
09.02.2013	256850.00
11.02.2013	1401050.00
12.02.2013	1896350.00
13.02.2013	1276040.00
14.02.2013	1355850.00
15.02.2013	1473450.00
16.02.2013	261800.00
18.02.2013	1544650.00
19.02.2013	1612986.30
20.02.2013	2707380.00
21.02.2013	1397900.00
22.02.2013	1758700.00
25.02.2013	655400.00
26.02.2013	785250.00
27.02.2013	770800.00
28.02.2013	1896456.00
