date	revenue
02.09.2013	1961950.00
03.09.2013	164800.00
04.09.2013	1712561.20
05.09.2013	1360700.00
06.09.2013	1560650.00
07.09.2013	193350.00
09.09.2013	135250.00
10.09.2013	1276050.00
11.09.2013	1278600.00
12.09.2013	2167050.00
13.09.2013	1467800.00
14.09.2013	130700.00
16.09.2013	936550.00
17.09.2013	697800.00
18.09.2013	1752600.00
19.09.2013	1365600.00
20.09.2013	2811648.00
21.09.2013	345250.00
23.09.2013	559437.80
24.09.2013	847100.00
25.09.2013	1073452.00
26.09.2013	1958800.00
27.09.2013	2171706.80
30.09.2013	709200.00
