date	revenue
01.12.2015	2839850.00
02.12.2015	1198350.00
03.12.2015	1585650.00
04.12.2015	3930350.00
05.12.2015	272200.00
07.12.2015	1366100.00
08.12.2015	2117140.00
09.12.2015	1748400.00
10.12.2015	2460260.00
11.12.2015	2621800.00
12.12.2015	153850.00
14.12.2015	2099850.00
15.12.2015	774700.00
16.12.2015	3202700.00
17.12.2015	1442200.00
18.12.2015	2936250.00
19.12.2015	391450.00
21.12.2015	3428984.00
22.12.2015	3641050.00
23.12.2015	2645150.00
24.12.2015	658600.00
25.12.2015	3412725.00
28.12.2015	2080470.00
29.12.2015	2463750.00
