date	revenue
01.10.2013	2180750.00
02.10.2013	1235500.00
03.10.2013	1425100.00
04.10.2013	2635400.00
05.10.2013	119200.00
07.10.2013	881850.00
08.10.2013	1150550.00
09.10.2013	2320300.00
10.10.2013	1412685.00
11.10.2013	2368150.00
12.10.2013	187850.00
14.10.2013	1866250.00
15.10.2013	1607600.00
16.10.2013	2147660.02
17.10.2013	2020240.70
18.10.2013	768850.00
19.10.2013	317650.00
21.10.2013	870700.00
22.10.2013	1359800.00
23.10.2013	1768700.00
24.10.2013	1799413.95
25.10.2013	1729720.00
28.10.2013	1446500.00
29.10.2013	831150.00
30.10.2013	1560250.00
31.10.2013	1786500.00
