date	revenue
01.02.2014	115200.00
03.02.2014	2154700.00
04.02.2014	2445164.00
05.02.2014	1097860.00
06.02.2014	1341050.00
07.02.2014	2966502.80
08.02.2014	267750.00
10.02.2014	2063180.00
11.02.2014	1394900.00
12.02.2014	1992400.00
13.02.2014	1853400.00
14.02.2014	3216400.00
15.02.2014	165200.00
17.02.2014	1917695.00
18.02.2014	901600.00
19.02.2014	1180350.00
20.02.2014	2656400.00
21.02.2014	1863300.00
22.02.2014	302850.00
24.02.2014	146450.00
25.02.2014	1541400.00
26.02.2014	2681800.00
27.02.2014	1176132.00
28.02.2014	1764694.60
