date	revenue
01.09.2014	435300.00
02.09.2014	2302500.00
03.09.2014	2434900.00
04.09.2014	2000750.00
05.09.2014	891200.00
06.09.2014	261400.00
08.09.2014	1168200.00
09.09.2014	1140600.00
10.09.2014	1708850.00
11.09.2014	1350050.00
12.09.2014	2091850.00
13.09.2014	204750.00
15.09.2014	2086250.00
16.09.2014	2428050.00
17.09.2014	1646450.00
18.09.2014	2341900.00
19.09.2014	974200.00
20.09.2014	245800.00
22.09.2014	989900.00
23.09.2014	1423450.00
24.09.2014	1172700.00
25.09.2014	1148850.00
26.09.2014	1088250.00
29.09.2014	592100.00
30.09.2014	1413450.00
