date	revenue
01.08.2013	1780500.00
02.08.2013	781482.43
03.08.2013	160650.00
05.08.2013	461450.00
06.08.2013	1042640.00
07.08.2013	853656.80
08.08.2013	2099450.00
09.08.2013	1857030.00
10.08.2013	170450.00
12.08.2013	305750.00
13.08.2013	1069650.00
14.08.2013	1610408.89
15.08.2013	1627461.40
16.08.2013	2077900.00
17.08.2013	171910.00
19.08.2013	1872050.00
20.08.2013	116950.00
21.08.2013	1265000.00
22.08.2013	395417.40
23.08.2013	1768650.00
24.08.2013	328700.00
26.08.2013	466750.00
27.08.2013	923900.00
28.08.2013	1569577.20
29.08.2013	1256750.00
30.08.2013	1565780.50
