date	revenue
01.10.2014	2333400.00
02.10.2014	1442000.00
03.10.2014	1498950.00
04.10.2014	285550.00
06.10.2014	944152.10
07.10.2014	1365700.00
08.10.2014	1463550.00
09.10.2014	1541350.00
10.10.2014	2765400.00
11.10.2014	363850.00
13.10.2014	1101500.00
14.10.2014	1187250.00
15.10.2014	2845500.00
16.10.2014	1964750.00
17.10.2014	756478.00
18.10.2014	225150.00
20.10.2014	2825650.00
21.10.2014	765450.00
22.10.2014	1161200.00
23.10.2014	1400250.00
24.10.2014	2984050.00
27.10.2014	1896600.00
28.10.2014	1930200.00
29.10.2014	2547750.00
30.10.2014	2309300.00
31.10.2014	1498800.00
