date	revenue
02.03.2015	1816150.00
03.03.2015	1546250.00
04.03.2015	2015250.00
05.03.2015	2428850.00
06.03.2015	581650.00
07.03.2015	50550.00
10.03.2015	876000.00
11.03.2015	260770.00
12.03.2015	1436800.00
13.03.2015	384010.00
14.03.2015	128650.00
16.03.2015	42400.00
17.03.2015	221850.00
18.03.2015	1679800.00
19.03.2015	927050.00
20.03.2015	940750.00
21.03.2015	195650.00
23.03.2015	2655100.00
24.03.2015	2147650.00
25.03.2015	1850790.00
26.03.2015	1927200.00
27.03.2015	972005.00
30.03.2015	1735850.00
31.03.2015	1220050.00
