date	revenue
01.07.2013	1261750.00
02.07.2013	1627190.00
03.07.2013	1596500.00
04.07.2013	1452250.00
05.07.2013	1326150.00
06.07.2013	47900.00
08.07.2013	1236500.00
09.07.2013	1349000.00
10.07.2013	1501232.50
11.07.2013	638250.00
13.07.2013	432800.00
15.07.2013	84800.00
16.07.2013	818550.00
17.07.2013	1208100.00
18.07.2013	1357383.00
19.07.2013	1574680.00
20.07.2013	310800.00
22.07.2013	1699750.00
23.07.2013	332350.00
24.07.2013	572470.60
25.07.2013	1373350.00
26.07.2013	2067500.00
29.07.2013	949250.00
30.07.2013	1422000.00
31.07.2013	427250.00
