date	revenue
01.11.2014	444700.00
05.11.2014	1308650.00
06.11.2014	1577800.00
07.11.2014	3029150.00
08.11.2014	336700.00
10.11.2014	1940400.00
11.11.2014	3114000.00
12.11.2014	1326000.00
13.11.2014	1940850.00
14.11.2014	2123700.00
15.11.2014	469130.00
17.11.2014	1729890.00
18.11.2014	1609600.00
19.11.2014	2242400.00
20.11.2014	2065650.00
21.11.2014	3477200.00
22.11.2014	19200.00
24.11.2014	1739000.00
25.11.2014	2297000.00
26.11.2014	1560300.00
27.11.2014	3062700.00
28.11.2014	3051700.00
29.11.2014	351200.00
