date	revenue
01.04.2013	1684100.00
02.04.2013	952750.00
04.04.2013	1046150.00
05.04.2013	256300.00
06.04.2013	388550.00
08.04.2013	57000.00
09.04.2013	743400.00
10.04.2013	1245650.00
11.04.2013	1621000.00
12.04.2013	1567000.00
13.04.2013	221100.00
15.04.2013	1372400.00
16.04.2013	496500.00
17.04.2013	1785000.00
18.04.2013	1693017.00
19.04.2013	1704400.00
20.04.2013	159100.00
22.04.2013	1047640.00
23.04.2013	1458700.00
24.04.2013	2182400.00
25.04.2013	2437200.00
26.04.2013	2085470.20
29.04.2013	1621640.00
30.04.2013	2488500.00
