date	revenue
01.12.2014	1528750.00
02.12.2014	1634550.00
03.12.2014	2732850.00
04.12.2014	2515450.00
05.12.2014	2543750.00
06.12.2014	519750.00
08.12.2014	2396850.00
09.12.2014	1480150.00
10.12.2014	2195900.00
11.12.2014	2034700.00
12.12.2014	3921005.00
13.12.2014	344884.10
15.12.2014	2298600.00
16.12.2014	1992750.00
17.12.2014	3363950.00
18.12.2014	1935500.00
19.12.2014	2947600.00
22.12.2014	5632450.00
23.12.2014	2355550.00
24.12.2014	3414750.00
25.12.2014	2320850.00
26.12.2014	3983550.00
27.12.2014	910350.00
29.12.2014	2496500.00
