date	revenue
03.08.2015	1956750.00
04.08.2015	2497445.00
05.08.2015	1119450.00
06.08.2015	1489750.00
07.08.2015	2524050.00
08.08.2015	256250.00
10.08.2015	2164550.00
11.08.2015	2724370.00
12.08.2015	1449800.00
13.08.2015	1869100.00
14.08.2015	1731300.00
15.08.2015	290200.00
17.08.2015	1337450.00
18.08.2015	2403100.00
19.08.2015	2426150.00
20.08.2015	1543900.00
21.08.2015	3349650.00
22.08.2015	146000.00
24.08.2015	1764600.00
25.08.2015	1506450.00
26.08.2015	2651700.00
27.08.2015	1454545.00
28.08.2015	2511600.00
31.08.2015	1283450.00
