date	revenue
01.06.2015	2089850.00
02.06.2015	1791550.00
03.06.2015	1140250.00
04.06.2015	1190700.00
05.06.2015	1531050.00
06.06.2015	161150.00
08.06.2015	317200.00
09.06.2015	442900.00
10.06.2015	2108185.00
11.06.2015	2181079.00
15.06.2015	116600.00
16.06.2015	52300.00
17.06.2015	2272000.00
18.06.2015	1849400.00
19.06.2015	1804150.00
20.06.2015	195350.00
22.06.2015	1653000.00
23.06.2015	1099100.00
24.06.2015	1078700.00
25.06.2015	419700.00
26.06.2015	2210065.52
29.06.2015	1709150.00
30.06.2015	1186400.00
