date	revenue
01.11.2013	1257950.00
02.11.2013	251300.00
05.11.2013	1290850.00
06.11.2013	1518600.00
07.11.2013	923750.00
08.11.2013	1717900.00
09.11.2013	213100.00
11.11.2013	1095034.00
12.11.2013	1467680.00
13.11.2013	1611650.00
14.11.2013	2063450.00
15.11.2013	1974900.00
16.11.2013	239350.00
18.11.2013	1366673.53
19.11.2013	1129750.00
20.11.2013	1644200.00
21.11.2013	2292150.00
22.11.2013	2280081.10
25.11.2013	540400.00
26.11.2013	726200.00
27.11.2013	1545595.20
28.11.2013	2046000.50
29.11.2013	2799900.00
30.11.2013	346850.00
